side,claim,gtin,gtin_group_size,gtin_group_brands,claim_share_in_group,gtin_check_independent,title_corroborates,title_check_independent,corpus_support,generic_token_fraction,is_generic_category_word,status,role,sku_id
source,Abant,,0,,0.0,True,True,True,32,0.0003630118816581266,False,confirmed_by_title_only,source,145595847
target,Imsdal,7044610874920,3,Imsdalx3,1.0,False,True,False,55,0.0006562137860743057,False,derived_only_not_independently_checkable,target,145595847
source,Caresse Antillaise,3291330008812,4,Caresse Antillaisex4,1.0,True,False,True,62,0.0,False,confirmed_by_co_listings,source,527540455
target,Wesergold,4100060024346,1,Wesergoldx1,1.0,False,True,False,27,0.00026527791351940017,False,derived_only_not_independently_checkable,target,527540455
source,O Organics,,0,,0.0,True,True,True,109,0.0036999287938232132,False,confirmed_by_title_only,source,988826374
target,amazon,195515047555,1,amazonx1,1.0,False,True,False,12,0.0006282897951775268,False,derived_only_not_independently_checkable,target,988826374
source,Bezoya,8410128000400,3,Bezoyax3,1.0,True,True,True,76,0.0010192256677324324,False,confirmed_by_co_listings,source,53911412
target,Bezoya,8410128000400,3,Bezoyax3,1.0,False,True,False,76,0.0010192256677324324,False,derived_only_not_independently_checkable,target,53911412
source,Kas,,0,,0.0,True,True,True,127,0.0018988313809809698,False,confirmed_by_title_only,source,73284494
target,Conad,8003170074064,2,Conadx2,1.0,False,True,False,139,0.0018848693855325804,False,derived_only_not_independently_checkable,target,73284494
source,Loviseberg Råsaft,7350068172694,2,Loviseberg Råsaftx2,1.0,True,False,True,143,0.00012565795903550535,False,confirmed_by_co_listings,source,117500559
target,Cidou,3760225491881,2,Cidoux2,1.0,False,True,False,62,0.0005864038088323583,False,derived_only_not_independently_checkable,target,117500559
source,BOB,7310090167532,6,BOBx6,1.0,True,False,True,85,0.0003909358725549055,False,confirmed_by_co_listings,source,59119520
target,Prosain,3335880007717,1,Prosainx1,1.0,False,True,False,34,0.00013961995448389484,False,derived_only_not_independently_checkable,target,59119520
source,Valio,6408430102419,3,Valiox3,1.0,True,False,True,275,0.00012565795903550535,False,confirmed_by_co_listings,source,762727084
target,Valio,6408430102419,3,Valiox3,1.0,False,True,False,275,0.00012565795903550535,False,derived_only_not_independently_checkable,target,762727084
source,Uptime,25713919906,4,Uptimex4,1.0,True,True,True,88,0.0010890356449743798,False,confirmed_by_co_listings,source,427886801
target,Bloom,842595136616,5,Bloomx5,1.0,False,True,False,57,0.0008796057132485375,False,derived_only_not_independently_checkable,target,427886801
source,Levissima,8001050766566,5,Levissimax5,1.0,True,False,True,168,0.00011169596358711587,False,confirmed_by_co_listings,source,976554241
target,Tasting Good,8719075630310,2,Tasting Goodx2,1.0,False,True,False,25,0.0015777054856680117,False,derived_only_not_independently_checkable,target,976554241
source,Dry,851818001440,5,Dryx5,1.0,True,True,True,96,0.002219957276293928,False,confirmed_by_co_listings,source,47024083
target,Aura Bora,860002260921,6,Aura Borax6,1.0,False,True,False,46,0.000432821858900074,False,derived_only_not_independently_checkable,target,47024083
source,Mahbuba,,0,,0.0,True,False,True,133,0.0,False,unverified_no_independent_evidence,source,279695870
target,Kiviks Musteri,7314720734132,5,Kiviks Musterix5,1.0,False,True,False,261,0.0,False,derived_only_not_independently_checkable,target,279695870
source,Marli,6415130103905,3,Marlix3,1.0,True,True,True,294,0.00378370076651355,False,confirmed_by_co_listings,source,786964402
target,Marli,6415130126492,1,Marlix1,1.0,False,True,False,294,0.00378370076651355,False,derived_only_not_independently_checkable,target,786964402
source,River,,0,,0.0,True,True,True,68,0.0018010974128422434,False,confirmed_by_title_only,source,568051769
target,S-BUDGET,2020001482702,1,S-BUDGETx1,1.0,False,True,False,6,0.0005165938315904109,False,derived_only_not_independently_checkable,target,568051769
source,Big 8,,0,,0.0,True,True,True,104,0.004928584393281488,False,confirmed_by_title_only,source,726263376
target,Peapod,688267001581,1,Peapodx1,1.0,False,True,False,180,0.002359577230777823,False,derived_only_not_independently_checkable,target,726263376
source,Frooti,,0,,0.0,True,True,True,15,0.00019546793627745276,False,confirmed_by_title_only,source,403717530
target,Frooti,8902579100087,1,Frootix1,1.0,False,True,False,15,0.00019546793627745276,False,derived_only_not_independently_checkable,target,403717530
source,Monoprix,,0,,0.0,True,True,True,144,0.0017452494310486854,False,confirmed_by_title_only,source,385740938
target,Sirop Sport,3014409008489,1,Sirop Sportx1,1.0,False,True,False,44,6.980997724194742e-05,False,derived_only_not_independently_checkable,target,385740938
source,Saol Vitamin Water,,0,,0.0,True,False,True,121,0.0,False,unverified_no_independent_evidence,source,145329014
target,MIXXD,5060337507363,2,MIXXDx2,1.0,False,True,False,13,0.0001815059408290633,False,derived_only_not_independently_checkable,target,145329014
source,Bolt 24,,0,,0.0,True,True,True,90,0.00022339192717423174,False,confirmed_by_title_only,source,252330993
target,Nutramino,8437019410742,1,Nutraminox1,1.0,False,True,False,57,0.0005445178224871899,False,derived_only_not_independently_checkable,target,252330993
source,Link,,0,,0.0,True,False,True,30,0.00016754394538067381,False,unverified_no_independent_evidence,source,869075423
target,Link,8692971071107,2,Linkx2,1.0,False,True,False,30,0.00016754394538067381,False,derived_only_not_independently_checkable,target,869075423
source,Van de Boom,8720157465867,2,Van de Boomx2,1.0,True,False,True,31,6.980997724194742e-05,False,confirmed_by_co_listings,source,841486606
target,Van de Boom,8720157402909,1,Van de Boomx1,1.0,False,True,False,31,6.980997724194742e-05,False,derived_only_not_independently_checkable,target,841486606
source,Gayelord Hauser,,0,,0.0,True,False,True,48,0.0005026318361420214,False,unverified_no_independent_evidence,source,1024516132
target,So Natural,5603493002893,2,So Naturalx2,1.0,False,True,False,93,0.0015777054856680117,False,derived_only_not_independently_checkable,target,1024516132
source,KA,,0,,0.0,True,False,True,91,0.001214693604009885,False,unverified_no_independent_evidence,source,159578391
target,Lilt,5449000024541,2,Liltx2,1.0,False,True,False,50,0.0006701757815226953,False,derived_only_not_independently_checkable,target,159578391
source,Get More,5060338920789,2,Get Morex2,1.0,True,True,True,94,0.0012286555994582746,False,confirmed_by_co_listings,source,208084089
target,Get More,5060338920789,2,Get Morex2,1.0,False,True,False,94,0.0012286555994582746,False,derived_only_not_independently_checkable,target,208084089
source,Sunita,,0,,0.0,True,True,True,147,0.0016614774583583486,False,confirmed_by_title_only,source,159827667
target,Hysope,3770014856425,1,Hysopex1,1.0,False,True,False,24,1.3961995448389483e-05,False,derived_only_not_independently_checkable,target,159827667
source,Salvavidas,,0,,0.0,True,True,True,10,0.00012565795903550535,False,confirmed_by_title_only,source,579794127
target,Salvavidas,688474668904,1,Salvavidasx1,1.0,False,True,False,10,0.00012565795903550535,False,derived_only_not_independently_checkable,target,579794127
source,Stewart's,,0,,0.0,True,False,True,153,0.0013543135584937799,False,unverified_no_independent_evidence,source,963809178
target,River,855323002596,1,Riverx1,1.0,False,True,False,68,0.0018010974128422434,False,derived_only_not_independently_checkable,target,963809178
source,Sade Organik,,0,,0.0,True,False,True,73,0.0,False,unverified_no_independent_evidence,source,380747911
target,Prosain,3335880007816,3,Prosainx3,1.0,False,True,False,34,0.00013961995448389484,False,derived_only_not_independently_checkable,target,380747911
source,Montellier,,0,,0.0,True,True,True,83,0.000865643717800148,False,confirmed_by_title_only,source,841529554
target,Stewart's,352154328128,1,Stewart'sx1,1.0,False,True,False,153,0.0013543135584937799,False,derived_only_not_independently_checkable,target,841529554
source,Vitalhaus,,0,,0.0,True,False,True,134,0.00012565795903550535,False,unverified_no_independent_evidence,source,116762461
target,Aroniasaft,4018745934524,1,Aroniasaftx1,1.0,False,True,False,14,1.3961995448389483e-05,False,derived_only_not_independently_checkable,target,116762461
source,President's Choice,60383204310,1,President's Choicex1,1.0,True,True,True,259,0.0012565795903550535,False,confirmed_by_co_listings,source,67442317
target,Kas,8410408050187,3,Kasx3,1.0,False,True,False,127,0.0018988313809809698,False,derived_only_not_independently_checkable,target,67442317
source,Montellier,,0,,0.0,True,True,True,83,0.000865643717800148,False,confirmed_by_title_only,source,841576339
target,Stewart's,352154328128,1,Stewart'sx1,1.0,False,True,False,153,0.0013543135584937799,False,derived_only_not_independently_checkable,target,841576339
source,Princes,,0,,0.0,True,True,True,34,0.0005445178224871899,False,confirmed_by_title_only,source,836685967
target,Mehukatti,6415131402311,3,Mehukattix3,1.0,False,True,False,109,0.0,False,derived_only_not_independently_checkable,target,836685967
source,Accelerator,,0,,0.0,True,True,True,61,0.0014939335129776747,False,confirmed_by_title_only,source,902250305
target,Accelerator,810014530543,4,Acceleratorx3; A SHOCx1,0.75,False,True,False,61,0.0014939335129776747,False,derived_only_not_independently_checkable,target,902250305
source,Tas,,0,,0.0,True,False,True,73,4.1885986345168454e-05,False,unverified_no_independent_evidence,source,224564199
target,Chaudfontaine,5000112648935,1,Chaudfontainex1,1.0,False,True,False,83,0.0007120617678678636,False,derived_only_not_independently_checkable,target,224564199
source,Viladrau,8410100000008,3,Viladraux3,1.0,True,True,True,29,0.00040489786800329504,False,confirmed_by_co_listings,source,200875081
target,Viladrau,8411002101800,2,Viladraux2,1.0,False,True,False,29,0.00040489786800329504,False,derived_only_not_independently_checkable,target,200875081
source,Erikli,8690793010052,4,Eriklix4,1.0,True,False,True,169,2.7923990896778967e-05,False,confirmed_by_co_listings,source,75830002
target,Erikli,8690793010052,4,Eriklix4,1.0,False,True,False,169,2.7923990896778967e-05,False,derived_only_not_independently_checkable,target,75830002
source,Mr. Fitzpatrick's,,0,,0.0,True,True,True,34,0.00037697387710651606,False,confirmed_by_title_only,source,160613629
target,Fiovana,5060505820195,1,Fiovanax1,1.0,False,True,False,13,0.0001815059408290633,False,derived_only_not_independently_checkable,target,160613629
source,L&A,,0,,0.0,True,False,True,100,1.0,False,unverified_no_independent_evidence,source,268217480
target,meijer,713733545853,1,meijerx1,1.0,False,True,False,48,0.0006701757815226953,False,derived_only_not_independently_checkable,target,268217480
source,Bubbl'r,,0,,0.0,True,True,True,123,0.0015218575038744538,False,confirmed_by_title_only,source,672228163
target,Glow,861982000255,1,Glowx1,1.0,False,True,False,13,0.0007679097496614216,False,derived_only_not_independently_checkable,target,672228163
source,Tate & Lyle,,0,,0.0,True,True,True,64,0.0009075297041453164,False,confirmed_by_title_only,source,8427944
target,Tate & Lyle,721866591128,1,Tate & Lylex1,1.0,False,True,False,64,0.0009075297041453164,False,derived_only_not_independently_checkable,target,8427944
source,Mr. Fitzpatrick's,,0,,0.0,True,True,True,34,0.00037697387710651606,False,confirmed_by_title_only,source,204037167
target,Fiovana,5060505820195,1,Fiovanax1,1.0,False,True,False,13,0.0001815059408290633,False,derived_only_not_independently_checkable,target,204037167
source,Slimpie,,0,,0.0,True,False,True,106,0.00022339192717423174,False,unverified_no_independent_evidence,source,961826258
target,Sicilia,715120446507,1,Siciliax1,1.0,False,True,False,42,0.0005026318361420214,False,derived_only_not_independently_checkable,target,961826258
source,North Coast,22014320707,5,North Coastx5,1.0,True,True,True,48,0.0006841377769710847,False,confirmed_by_co_listings,source,449747663
target,Central Market,995561352890,1,Central Marketx1,1.0,False,True,False,17,0.00020942993172584225,False,derived_only_not_independently_checkable,target,449747663
source,Sunny Delight,8414100384441,1,Sunny Delightx1,1.0,True,True,True,109,0.0016056294765647906,False,confirmed_by_co_listings,source,299103058
target,Sunny Delight,8414100384441,1,Sunny Delightx1,1.0,False,True,False,109,0.0016056294765647906,False,derived_only_not_independently_checkable,target,299103058
source,Pure,,0,,0.0,True,False,True,18,0.02595534953855605,True,generic_category_word,source,615648172
target,True North,815154024136,6,True Northx6,1.0,False,True,False,50,0.0018010974128422434,False,derived_only_not_independently_checkable,target,615648172
source,Lowicz,,0,,0.0,True,True,True,10,0.00011169596358711587,False,confirmed_by_title_only,source,257968949
target,Lowicz,5900397737594,3,Lowiczx3,1.0,False,True,False,10,0.00011169596358711587,False,derived_only_not_independently_checkable,target,257968949
source,Thick & Easy,,0,,0.0,True,True,True,159,0.003685966798374824,False,confirmed_by_title_only,source,579976080
target,Thick & Easy,696850062901,1,Thick & Easyx1,1.0,False,True,False,159,0.003685966798374824,False,derived_only_not_independently_checkable,target,579976080
source,Farm Boy,,0,,0.0,True,True,True,143,0.0020105273445680857,False,confirmed_by_title_only,source,726316905
target,NOS,769553414220,1,NOSx1,1.0,False,True,False,169,0.00216410929450037,False,derived_only_not_independently_checkable,target,726316905
source,Hella,,0,,0.0,True,True,True,80,0.0010890356449743798,False,confirmed_by_title_only,source,832465898
target,Côteaux Nantais,3301591000804,3,Côteaux Nantaisx3,1.0,False,False,False,108,0.0,False,derived_only_not_independently_checkable,target,832465898
source,Meneau,,0,,0.0,True,False,True,181,0.00015358194993228433,False,unverified_no_independent_evidence,source,409774683
target,Meneau,3274490970274,1,Meneaux1,1.0,False,True,False,181,0.00015358194993228433,False,derived_only_not_independently_checkable,target,409774683
source,Olympos,5202178008009,1,Olymposx1,1.0,True,False,True,114,0.0,False,confirmed_by_co_listings,source,297816288
target,Olympos,5202178008009,1,Olymposx1,1.0,False,True,False,114,0.0,False,derived_only_not_independently_checkable,target,297816288
source,Raak,,0,,0.0,True,False,True,148,0.00011169596358711587,False,unverified_no_independent_evidence,source,948974941
target,Raak,87351880,3,Raakx3,1.0,False,True,False,148,0.00011169596358711587,False,derived_only_not_independently_checkable,target,948974941
source,Çamlica,,0,,0.0,True,True,True,92,0.0012286555994582746,False,confirmed_by_title_only,source,168113772
target,Çamlica,8690504525127,2,Çamlicax2,1.0,False,True,False,92,0.0012286555994582746,False,derived_only_not_independently_checkable,target,168113772
source,Tradition,,0,,0.0,True,True,True,106,0.001242617594906664,False,confirmed_by_title_only,source,786233749
target,Tradition,775462750052,1,Traditionx1,1.0,False,True,False,106,0.001242617594906664,False,derived_only_not_independently_checkable,target,786233749
source,X- Gamer,,0,,0.0,True,True,True,67,0.0008935677086969269,False,confirmed_by_title_only,source,375007208
target,X- Gamer,7340158202165,2,X- Gamerx2,1.0,False,True,False,67,0.0008935677086969269,False,derived_only_not_independently_checkable,target,375007208
source,Cove,,0,,0.0,True,True,True,50,0.0006701757815226953,False,confirmed_by_title_only,source,841342682
target,Rowdy Mermaid,857075007171,2,Rowdy Mermaidx2,1.0,False,True,False,30,0.00023735392262262122,False,derived_only_not_independently_checkable,target,841342682
source,Thick- It,,0,,0.0,True,True,True,99,0.0021222233081552013,False,confirmed_by_title_only,source,78046727
target,Thick & Easy,696850061607,1,Thick & Easyx1,1.0,False,True,False,159,0.003685966798374824,False,derived_only_not_independently_checkable,target,78046727
source,Zumosol,,0,,0.0,True,True,True,161,0.001647515462909959,False,confirmed_by_title_only,source,56443387
target,Zumosol,8435425102237,2,Zumosolx2,1.0,False,True,False,161,0.001647515462909959,False,derived_only_not_independently_checkable,target,56443387
source,North Coast,,0,,0.0,True,True,True,48,0.0006841377769710847,False,confirmed_by_title_only,source,684864828
target,Plezi,850044833290,2,Plezix2,1.0,False,True,False,19,0.00019546793627745276,False,derived_only_not_independently_checkable,target,684864828
source,FLIRT,,0,,0.0,True,True,True,22,0.00023735392262262122,False,confirmed_by_title_only,source,993516854
target,Me Me,3770007351043,1,Me Mex1,1.0,False,False,False,14,0.000432821858900074,False,derived_only_not_independently_checkable,target,993516854
source,Wesergold,,0,,0.0,True,False,True,27,0.00026527791351940017,False,unverified_no_independent_evidence,source,47970418
target,Wesergold,4100060024346,1,Wesergoldx1,1.0,False,True,False,27,0.00026527791351940017,False,derived_only_not_independently_checkable,target,47970418
source,3D,868784000322,5,3Dx5,1.0,True,False,True,81,0.0010611116540776007,False,confirmed_by_co_listings,source,415186577
target,3D,868784000391,3,3Dx3,1.0,False,False,False,81,0.0010611116540776007,False,derived_only_not_independently_checkable,target,415186577
source,May Tea,3124480185112,6,May Teax6,1.0,True,False,True,258,0.00297390503050696,False,confirmed_by_co_listings,source,517453161
target,PureThé,3551720042063,1,PureThéx1,1.0,False,False,False,23,0.0001815059408290633,False,derived_only_not_independently_checkable,target,517453161
source,Taksi,,0,,0.0,True,False,True,87,1.3961995448389483e-05,False,unverified_no_independent_evidence,source,750643907
target,Taksi,8720157462910,2,Taksix2,1.0,False,True,False,87,1.3961995448389483e-05,False,derived_only_not_independently_checkable,target,750643907
source,Clever,,0,,0.0,True,True,True,44,0.0005584798179355794,False,confirmed_by_title_only,source,859564233
target,Premier,7611612513883,4,Premierx4,1.0,False,True,False,343,0.0005165938315904109,False,derived_only_not_independently_checkable,target,859564233
source,Kayseri Pazarı,,0,,0.0,True,False,True,233,0.0,False,unverified_no_independent_evidence,source,418956805
target,Arifoglu,8691530918112,1,Arifoglux1,1.0,False,True,False,20,0.00015358194993228433,False,derived_only_not_independently_checkable,target,418956805
source,Vibe,,0,,0.0,True,True,True,6,8.377197269033691e-05,False,confirmed_by_title_only,source,152045764
target,Ekotrebol,8436571270191,1,Ekotrebolx1,1.0,False,True,False,32,0.00037697387710651606,False,derived_only_not_independently_checkable,target,152045764
source,Big 8,,0,,0.0,True,True,True,104,0.004928584393281488,False,confirmed_by_title_only,source,841531686
target,Kas,8410408050361,2,Kasx2,1.0,False,True,False,127,0.0018988313809809698,False,derived_only_not_independently_checkable,target,841531686
source,Bremner's,,0,,0.0,True,True,True,19,0.0002513159180710107,False,confirmed_by_title_only,source,920646457
target,Valio,6408430670031,3,Valiox3,1.0,False,True,False,275,0.00012565795903550535,False,derived_only_not_independently_checkable,target,920646457
source,Two Bears,,0,,0.0,True,True,True,55,0.0006562137860743057,False,confirmed_by_title_only,source,726301432
target,Two Bears,628504309032,1,Two Bearsx1,1.0,False,True,False,55,0.0006562137860743057,False,derived_only_not_independently_checkable,target,726301432
source,Good & Gather,85239038284,2,Good & Gatherx2,1.0,True,True,True,24,0.00033508789076134763,False,confirmed_by_co_listings,source,214790880
target,De La Calle,810050500258,2,De La Callex2,1.0,False,True,False,17,0.00023735392262262122,False,derived_only_not_independently_checkable,target,214790880
source,Fruchtsirup,,0,,0.0,True,False,True,14,0.0,False,unverified_no_independent_evidence,source,171198602
target,Yo,9001400005009,1,Yox1,1.0,False,False,False,84,0.0012845035812518325,False,derived_only_not_independently_checkable,target,171198602
source,Hildon,,0,,0.0,True,True,True,43,0.0006003658042807479,False,confirmed_by_title_only,source,159366812
target,Radnor,752836173242,1,Radnorx1,1.0,False,True,False,100,0.0012845035812518325,False,derived_only_not_independently_checkable,target,159366812
source,Mineragua,90478410616,2,Mineraguax2,1.0,True,True,True,26,0.0003211258953129581,False,confirmed_by_co_listings,source,17049410
target,Mineragua,732623753161,1,Mineraguax1,1.0,False,True,False,26,0.0003211258953129581,False,derived_only_not_independently_checkable,target,17049410
source,President's Choice,,0,,0.0,True,True,True,259,0.0012565795903550535,False,confirmed_by_title_only,source,691140290
target,Garant,7340083489457,3,Garantx3,1.0,False,True,False,191,0.0,False,derived_only_not_independently_checkable,target,691140290
source,Lanjarón,,0,,0.0,True,True,True,59,0.0007958337405582006,False,confirmed_by_title_only,source,88157615
target,Lanjarón,8410728180120,3,Lanjarónx3,1.0,False,False,False,59,0.0007958337405582006,False,derived_only_not_independently_checkable,target,88157615
source,God Morgon,6415130087892,2,God Morgonx2,1.0,True,False,True,257,0.0,False,confirmed_by_co_listings,source,421076343
target,God Morgon,6415130087953,2,God Morgonx2,1.0,False,True,False,257,0.0,False,derived_only_not_independently_checkable,target,421076343
source,Ting,,0,,0.0,True,True,True,28,0.00037697387710651606,False,confirmed_by_title_only,source,726315819
target,Dg,858629001065,3,Dgx2; Tingx1,0.6666666666666666,False,False,False,20,0.00022339192717423174,False,derived_only_not_independently_checkable,target,726315819
source,BOB,,0,,0.0,True,True,True,85,0.0003909358725549055,False,confirmed_by_title_only,source,83491916
target,BOB,7310090155539,5,BOBx5,1.0,False,True,False,85,0.0003909358725549055,False,derived_only_not_independently_checkable,target,83491916
source,Cemilefendi,,0,,0.0,True,True,True,110,0.0015916674811164012,False,confirmed_by_title_only,source,125342983
target,Cemil,8680462025654,1,Cemilx1,1.0,False,True,False,21,0.00011169596358711587,False,derived_only_not_independently_checkable,target,125342983
source,Family Christodoulou,,0,,0.0,True,False,True,45,0.00037697387710651606,False,unverified_no_independent_evidence,source,278576552
target,Naturgreen,8437007759440,3,Naturgreenx3,1.0,False,True,False,40,0.00026527791351940017,False,derived_only_not_independently_checkable,target,278576552
source,Obsesso,,0,,0.0,True,False,True,146,0.0008935677086969269,False,unverified_no_independent_evidence,source,864077437
target,Njie,7350068292408,4,Njiex4,1.0,False,True,False,76,0.00029320190441617914,False,derived_only_not_independently_checkable,target,864077437
source,Solares,8410165500017,2,Solaresx2,1.0,True,False,True,21,4.1885986345168454e-05,False,confirmed_by_co_listings,source,56590130
target,Solares,8410165500017,2,Solaresx2,1.0,False,True,False,21,4.1885986345168454e-05,False,derived_only_not_independently_checkable,target,56590130
source,Alkalife,,0,,0.0,True,True,True,12,0.00012565795903550535,False,confirmed_by_title_only,source,9698426
target,Nestlé,798235650229,1,Nestléx1,1.0,False,False,False,19,0.0005026318361420214,False,derived_only_not_independently_checkable,target,9698426
source,Sir Up,,0,,0.0,True,True,True,51,1.3961995448389483e-05,False,confirmed_by_title_only,source,727161336
target,Kampos Chioy,5204125100859,1,Kampos Chioyx1,1.0,False,True,False,33,0.0,False,derived_only_not_independently_checkable,target,727161336
source,Sunita,,0,,0.0,True,True,True,147,0.0016614774583583486,False,confirmed_by_title_only,source,251699831
target,Sunita,5018076100512,13,Sunitax13,1.0,False,True,False,147,0.0016614774583583486,False,derived_only_not_independently_checkable,target,251699831
source,Produits U,,0,,0.0,True,False,True,33,0.0,False,unverified_no_independent_evidence,source,2534587
target,Bravo,7310867561037,4,Bravox4,1.0,False,True,False,137,0.0006980997724194742,False,derived_only_not_independently_checkable,target,2534587
source,Orange Crush,,0,,0.0,True,False,True,43,0.0014939335129776747,False,unverified_no_independent_evidence,source,859903348
target,SoBe,739510001138,1,SoBex1,1.0,False,True,False,67,0.0002792399089677897,False,derived_only_not_independently_checkable,target,859903348
source,Caresse Antillaise,,0,,0.0,True,False,True,62,0.0,False,unverified_no_independent_evidence,source,94031063
target,Caresse Antillaise,3291337615280,4,Caresse Antillaisex4,1.0,False,True,False,62,0.0,False,derived_only_not_independently_checkable,target,94031063
source,Ekobryggeriet,7350093030259,7,Ekobryggerietx7,1.0,True,False,True,68,9.773396813872638e-05,False,confirmed_by_co_listings,source,246356123
target,Recoaro,8008720081011,3,Recoarox3,1.0,False,True,False,24,0.0003211258953129581,False,derived_only_not_independently_checkable,target,246356123
source,Ozarka,22592637778,6,Ozarkax6,1.0,True,True,True,196,0.0025550451670552756,False,confirmed_by_co_listings,source,752244812
target,Hildon,680332586276,1,Hildonx1,1.0,False,True,False,43,0.0006003658042807479,False,derived_only_not_independently_checkable,target,752244812
source,Slimpie,,0,,0.0,True,False,True,106,0.00022339192717423174,False,unverified_no_independent_evidence,source,587335210
target,Morga,7610491040992,2,Morgax2,1.0,False,True,False,57,0.0006143277997291373,False,derived_only_not_independently_checkable,target,587335210
source,Bucked Up,,0,,0.0,True,True,True,56,0.0007539477542130321,False,confirmed_by_title_only,source,969441957
target,Bucked Up,811374039691,3,Bucked Upx3,1.0,False,True,False,56,0.0007539477542130321,False,derived_only_not_independently_checkable,target,969441957
source,Raptor,,0,,0.0,True,True,True,11,0.00016754394538067381,False,confirmed_by_title_only,source,580362375
target,NOS,711403680477,1,NOSx1,1.0,False,True,False,169,0.00216410929450037,False,derived_only_not_independently_checkable,target,580362375
source,Marcel,,0,,0.0,True,True,True,129,0.0011169596358711587,False,confirmed_by_title_only,source,78578616
target,Marcel,3700749302300,3,Marcelx3,1.0,False,True,False,129,0.0011169596358711587,False,derived_only_not_independently_checkable,target,78578616
source,Pedras Salgadas,,0,,0.0,True,False,True,61,5.5847981793557934e-05,False,unverified_no_independent_evidence,source,736543451
target,Olvi,6419800052982,4,Olvix4,1.0,False,True,False,137,0.0017033634447035171,False,derived_only_not_independently_checkable,target,736543451
source,Mello Yello,,0,,0.0,True,True,True,57,0.0007399857587646427,False,confirmed_by_title_only,source,508628351
target,Mello Yello,702823656753,1,Mello Yellox1,1.0,False,True,False,57,0.0007399857587646427,False,derived_only_not_independently_checkable,target,508628351
source,Anna's Best,,0,,0.0,True,True,True,29,0.0002513159180710107,False,confirmed_by_title_only,source,403076881
target,Cool Best,8720157462187,2,Cool Bestx2,1.0,False,True,False,234,0.004062940675481339,False,derived_only_not_independently_checkable,target,403076881
source,Ibc,72796000168,12,Ibcx12,1.0,True,True,True,81,0.0010052636722840428,False,confirmed_by_co_listings,source,75445737
target,Maine Root,810161207695,1,Maine Rootx1,1.0,False,True,False,47,0.0007539477542130321,False,derived_only_not_independently_checkable,target,75445737
source,Hill Country Fare,41220715954,1,Hill Country Farex1,1.0,True,True,True,13,0.00016754394538067381,False,confirmed_by_co_listings,source,78285482
target,Dublin,897555002296,1,Dublinx1,1.0,False,True,False,27,0.00037697387710651606,False,derived_only_not_independently_checkable,target,78285482
source,PLj,,0,,0.0,True,True,True,25,0.00030716389986456866,False,confirmed_by_title_only,source,530936591
target,Tasting Good,8719075630310,2,Tasting Goodx2,1.0,False,True,False,25,0.0015777054856680117,False,derived_only_not_independently_checkable,target,530936591
source,Clear American,78742128108,1,Clear Americanx1,1.0,True,True,True,126,0.0019127933764293593,False,confirmed_by_co_listings,source,10531195
target,Clear American,681131780957,1,Clear Americanx1,1.0,False,True,False,126,0.0019127933764293593,False,derived_only_not_independently_checkable,target,10531195
source,Publix,,0,,0.0,True,True,True,239,0.0033089929212683075,False,confirmed_by_title_only,source,689989863
target,Pakola,8964000661871,1,Pakolax1,1.0,False,True,False,9,0.00011169596358711587,False,derived_only_not_independently_checkable,target,689989863
source,Iceland,,0,,0.0,True,True,True,58,0.0008237577314549795,False,confirmed_by_title_only,source,76199200
target,Hawaiian Springs,667103102262,1,Hawaiian Springsx1,1.0,False,True,False,29,0.0011867696131131061,False,derived_only_not_independently_checkable,target,76199200
source,Meneau,,0,,0.0,True,False,True,181,0.00015358194993228433,False,unverified_no_independent_evidence,source,83047828
target,Meneau,3274490970588,2,Meneaux2,1.0,False,True,False,181,0.00015358194993228433,False,derived_only_not_independently_checkable,target,83047828
source,Chaudfontaine,5449000247223,2,Chaudfontainex2,1.0,True,False,True,83,0.0007120617678678636,False,confirmed_by_co_listings,source,142817540
target,Chaudfontaine,5449000247223,2,Chaudfontainex2,1.0,False,True,False,83,0.0007120617678678636,False,derived_only_not_independently_checkable,target,142817540
source,Oze,,0,,0.0,True,False,True,222,0.00242938720801977,False,unverified_no_independent_evidence,source,208957261
target,What A Melon,5060167500305,1,What A Melonx1,1.0,False,True,False,37,0.0006143277997291373,False,derived_only_not_independently_checkable,target,208957261
source,Cold Brew Tea,,0,,0.0,True,True,True,10,0.025131591807101072,True,generic_category_word,source,841312832
target,Swoon,858344005546,5,Swoonx5,1.0,False,True,False,19,0.00023735392262262122,False,derived_only_not_independently_checkable,target,841312832
source,Kiviks Musteri,7314720732534,7,Kiviks Musterix7,1.0,True,False,True,261,0.0,False,confirmed_by_co_listings,source,176170363
target,Kiviks Musteri,7314720732534,7,Kiviks Musterix7,1.0,False,True,False,261,0.0,False,derived_only_not_independently_checkable,target,176170363
source,Nygårda,7310401000220,4,Nygårdax4,1.0,True,False,True,137,0.0005445178224871899,False,confirmed_by_co_listings,source,516176587
target,Apotekarnes,7310070733856,4,Apotekarnesx4,1.0,False,True,False,130,0.0006003658042807479,False,derived_only_not_independently_checkable,target,516176587
source,Private Selection,11110827784,1,Private Selectionx1,1.0,True,True,True,36,0.00044678385434846347,False,confirmed_by_co_listings,source,32018613
target,Bio Primo,2200081476772,2,Bio Primox2,1.0,False,True,False,21,0.00015358194993228433,False,derived_only_not_independently_checkable,target,32018613
source,Tradition,,0,,0.0,True,True,True,106,0.001242617594906664,False,confirmed_by_title_only,source,841750186
