token,class,n_occurrences,verdict,rule
4x6x12,word_embedded,2,strip,strip
4x750ml,multiplier,2,strip,strip
50.72,decimal,2,strip,strip
500mlx12,word_embedded,2,strip,strip
500mlx24,word_embedded,2,strip,strip
510g,num_unit,2,strip,strip
520,pure_int,2,strip,strip
5298,pure_int,2,strip,strip
553147,pure_int,2,strip,strip
553148,pure_int,2,strip,strip
5dl,num_unit,2,strip,strip
5x1000,multiplier,2,strip,strip
5x330ml,multiplier,2,strip,strip
6.2,decimal,2,strip,strip
6.8,decimal,2,strip,strip
600gr,num_unit,2,strip,strip
613,pure_int,2,strip,strip
650g,num_unit,2,strip,strip
65p,word_embedded,2,strip,strip
660,pure_int,2,strip,strip
6er,word_embedded,2,strip,strip
6mix1,word_embedded,2,strip,strip
6s,word_embedded,2,strip,strip
6st,word_embedded,2,strip,strip
6x1.5,multiplier,2,strip,strip
6x100cl,multiplier,2,strip,strip
6x125,multiplier,2,strip,strip
6x25.,multiplier,2,strip,strip
6x4,multiplier,2,strip,strip
6xteho,word_embedded,2,strip,strip
7000,pure_int,2,strip,strip
72.0,decimal,2,strip,strip
76,pure_int,2,strip,strip
760,pure_int,2,strip,strip
79p,word_embedded,2,strip,strip
8.5floz,word_embedded,2,strip,strip
8059,pure_int,2,strip,strip
830,pure_int,2,strip,strip
840,pure_int,2,strip,strip
8x0.,multiplier,2,strip,strip
8x2l,multiplier,2,strip,strip
8x2ltr,multiplier,2,strip,strip
8x33,multiplier,2,strip,strip
8x33cl,multiplier,2,strip,strip
8x35g,multiplier,2,strip,strip
8x4,multiplier,2,strip,strip
9.0,decimal,2,strip,strip
9.28,decimal,2,strip,strip
9.56,decimal,2,strip,strip
9.6,decimal,2,strip,strip
9.64,decimal,2,strip,strip
902836,pure_int,2,strip,strip
91,pure_int,2,strip,strip
9283,pure_int,2,strip,strip
97,pure_int,2,strip,strip
99.8,decimal,2,strip,strip
9gx15uds,multiplier,2,strip,strip
a1,word_embedded,2,strip,strip
aquacareh20,word_embedded,2,strip,strip
b23709,word_embedded,2,keep_nutrient,keep_nutrient
b478,word_embedded,2,keep_nutrient,keep_nutrient
beber100,word_embedded,2,strip,strip
big8,word_embedded,2,strip,strip
carni4,word_embedded,2,strip,strip
coq10,word_embedded,2,strip,strip
cranberry750,word_embedded,2,strip,strip
drink12,word_embedded,2,strip,strip
ds12,word_embedded,2,strip,strip
fr1104,word_embedded,2,strip,strip
from.0.5,other,2,strip,strip
fruit2,word_embedded,2,strip,strip
good2,word_embedded,2,strip,strip
gp0027,word_embedded,2,strip,strip
mango1,word_embedded,2,strip,strip
mec3,word_embedded,2,strip,strip
mlx6,word_embedded,2,strip,strip
no.9,product_number,2,strip,strip
no1,word_embedded,2,strip,strip
no12,word_embedded,2,strip,strip
p24,word_embedded,2,strip,strip
ph10,word_embedded,2,keep_nutrient,keep_nutrient
ph9.5,word_embedded,2,keep_nutrient,keep_nutrient
re2al,word_embedded,2,strip,strip
sr25,word_embedded,2,strip,strip
u0026,word_embedded,2,strip,strip
ursu9,word_embedded,2,strip,strip
v2u,word_embedded,2,strip,strip
x150,multiplier,2,strip,strip
yu5,word_embedded,2,strip,strip
.11,other,1,strip,strip
.88ounces,word_embedded,1,keep_name,keep_name
0.10,decimal,1,strip,strip
0.15,decimal,1,strip,strip
0.20cc,num_unit,1,strip,strip
0.28g,num_unit,1,strip,strip
0.33lx10,multiplier,1,strip,strip
0.33lx12,multiplier,1,strip,strip
0.35,decimal,1,strip,strip
0.3e,word_embedded,1,strip,strip
0.4,decimal,1,strip,strip
0.40e,word_embedded,1,strip,strip
0.500,decimal,1,strip,strip
0.56,decimal,1,strip,strip
0.6,decimal,1,strip,strip
0.60e,word_embedded,1,strip,strip
0.70,decimal,1,strip,strip
0.70p,word_embedded,1,strip,strip
0.7lfhm,word_embedded,1,strip,strip
0.93,decimal,1,strip,strip
0.95,decimal,1,strip,strip
00001,pure_int,1,strip,strip
00002,pure_int,1,strip,strip
0012000110341,pure_int,1,strip,strip
00154,pure_int,1,strip,strip
00280,pure_int,1,strip,strip
00286,pure_int,1,strip,strip
00365776,pure_int,1,strip,strip
0100,pure_int,1,strip,strip
01044666,pure_int,1,strip,strip
012,pure_int,1,strip,strip
012955,pure_int,1,strip,strip
02052863,pure_int,1,strip,strip
02life,word_embedded,1,strip,strip
03080979,pure_int,1,strip,strip
03740418,pure_int,1,strip,strip
04,pure_int,1,strip,strip
04.11.2021,other,1,strip,strip
04434600,pure_int,1,strip,strip
04667066,pure_int,1,strip,strip
05125290,pure_int,1,strip,strip
054501,pure_int,1,strip,strip
05463041,pure_int,1,strip,strip
055300,pure_int,1,strip,strip
05l24plt,word_embedded,1,strip,strip
06810361,pure_int,1,strip,strip
06978563,pure_int,1,strip,strip
06978646,pure_int,1,strip,strip
073366118023,pure_int,1,strip,strip
073366118122,pure_int,1,strip,strip
1.0,decimal,1,keep_brand,keep_brand
1.000mg,num_unit,1,strip,strip
1.09,decimal,1,strip,strip
1.15,decimal,1,strip,strip
1.3,decimal,1,strip,strip
1.32,decimal,1,strip,strip
1.375kg,num_unit,1,strip,strip
1.45,decimal,1,strip,strip
1.51,decimal,1,strip,strip
1.60,decimal,1,strip,strip
1.6kcal,num_unit,1,strip,strip
1.80,decimal,1,keep_brand,keep_brand
1.92,decimal,1,strip,strip
10.08.2022,other,1,strip,strip
10.1,decimal,1,strip,strip
10.66,decimal,1,strip,strip
10.8,decimal,1,strip,strip
100.000,decimal,1,strip,strip
1000027890,pure_int,1,strip,strip
1000032212,pure_int,1,strip,strip
1000061554,pure_int,1,strip,strip
1000061610,pure_int,1,strip,strip
10087191,pure_int,1,strip,strip
100ct.,num_unit,1,strip,strip
100x4,multiplier,1,strip,strip
10124815,pure_int,1,strip,strip
10125021,pure_int,1,strip,strip
10125022,pure_int,1,strip,strip
10125024,pure_int,1,strip,strip
10125039,pure_int,1,strip,strip
10125048,pure_int,1,strip,strip
10125064,pure_int,1,strip,strip
10125069,pure_int,1,strip,strip
10125070,pure_int,1,strip,strip
101264ct,num_unit,1,strip,strip
1021,pure_int,1,strip,strip
103,pure_int,1,strip,strip
1050,pure_int,1,strip,strip
1056,pure_int,1,strip,strip
105srll,word_embedded,1,keep_name,keep_name
10708131,pure_int,1,strip,strip
10708148,pure_int,1,strip,strip
10708208,pure_int,1,strip,strip
1080,pure_int,1,strip,strip
10floz,word_embedded,1,strip,strip
10kg,num_unit,1,strip,strip
10x0.,multiplier,1,strip,strip
10x10cl,multiplier,1,strip,strip
10x12g,multiplier,1,strip,strip
10x1l,multiplier,1,strip,strip
10x200,multiplier,1,strip,strip
10x230,multiplier,1,strip,strip
10x250ml,multiplier,1,strip,strip
10x500,multiplier,1,strip,strip
10x5gr,multiplier,1,strip,strip
10x65g,multiplier,1,strip,strip
11.05,decimal,1,strip,strip
11.5000,decimal,1,strip,strip
11080022,pure_int,1,strip,strip
11280907,pure_int,1,strip,strip
11311789,pure_int,1,strip,strip
114,pure_int,1,strip,strip
1146,pure_int,1,strip,strip
115,pure_int,1,strip,strip
118060,pure_int,1,strip,strip
11fl.oz,word_embedded,1,strip,strip
11floz,word_embedded,1,strip,strip
11gr,num_unit,1,strip,strip
11x0.,multiplier,1,strip,strip
12.0,decimal,1,strip,strip
12.3,decimal,1,strip,strip
12.30,decimal,1,strip,strip
12.6,decimal,1,strip,strip
120mlx24,word_embedded,1,strip,strip
12252794,pure_int,1,strip,strip
123organik,word_embedded,1,keep_name,keep_name
1247,pure_int,1,strip,strip
12adet330ml,word_embedded,1,keep_name,keep_name
12ct.,num_unit,1,strip,strip
12er,word_embedded,1,strip,strip
12fl,word_embedded,1,strip,strip
12fl.oz,word_embedded,1,strip,strip
12floz,word_embedded,1,strip,strip
12fo,word_embedded,1,strip,strip
12gr,num_unit,1,strip,strip
12packs,word_embedded,1,keep_name,keep_name
12s,word_embedded,1,strip,strip
12stick,word_embedded,1,keep_name,keep_name
12x1000,multiplier,1,strip,strip
12x12,multiplier,1,strip,strip
12x14oz,multiplier,1,strip,strip
12x15.,multiplier,1,strip,strip
12x150,multiplier,1,strip,strip
12x150ml,multiplier,1,strip,strip
12x16,multiplier,1,strip,strip
12x17.,multiplier,1,strip,strip
12x2,multiplier,1,strip,strip
12x2.5g,multiplier,1,strip,strip
12x200,multiplier,1,strip,strip
12x275ml,multiplier,1,strip,strip
12x3.5g,multiplier,1,strip,strip
12x341.,multiplier,1,strip,strip
12x355,multiplier,1,strip,strip
12x35g,multiplier,1,strip,strip
12x473ml,multiplier,1,strip,strip
12x500mle,multiplier,1,strip,strip
12x50cl,multiplier,1,strip,strip
12x52ml,multiplier,1,strip,strip
12x600ml,multiplier,1,strip,strip
12x60ml,multiplier,1,strip,strip
12x750ml,multiplier,1,strip,strip
12x75cl,multiplier,1,strip,strip
13.50,decimal,1,strip,strip
1300,pure_int,1,strip,strip
1320,pure_int,1,strip,strip
135,pure_int,1,strip,strip
135.7,decimal,1,strip,strip
135g,num_unit,1,strip,strip
136,pure_int,1,strip,strip
137.2,decimal,1,strip,strip
139,pure_int,1,strip,strip
139821,pure_int,1,strip,strip
13984558,pure_int,1,strip,strip
13kj,word_embedded,1,strip,strip
14.4g,num_unit,1,strip,strip
140,pure_int,1,strip,strip
144,pure_int,1,strip,strip
1447,pure_int,1,strip,strip
15.2fz,num_unit,1,strip,strip
1500mg,num_unit,1,strip,strip
150mg,num_unit,1,strip,strip
1512,pure_int,1,strip,strip
15813,pure_int,1,strip,strip
15gr,num_unit,1,strip,strip
15mg,num_unit,1,strip,strip
15pk,num_unit,1,strip,strip
15uts,word_embedded,1,strip,strip
15x25.,multiplier,1,strip,strip
15x300ml,multiplier,1,strip,strip
15x30cl,multiplier,1,strip,strip
15x330ml,multiplier,1,strip,strip
15x4g,multiplier,1,strip,strip
16.5,decimal,1,strip,strip
16.90,decimal,1,strip,strip
160g,num_unit,1,strip,strip
16ct,num_unit,1,strip,strip
16fo,word_embedded,1,strip,strip
16pian,word_embedded,1,keep_name,keep_name
16pk,num_unit,1,strip,strip
16uts,word_embedded,1,strip,strip
16x0.5,multiplier,1,strip,strip
17.76g,num_unit,1,strip,strip
17.8gr,num_unit,1,strip,strip
171g,num_unit,1,strip,strip
1726892,pure_int,1,strip,strip
1795111,pure_int,1,strip,strip
1795145,pure_int,1,strip,strip
17gr,num_unit,1,strip,strip
18.6,decimal,1,strip,strip
18.99,decimal,1,strip,strip
180mlx20,word_embedded,1,strip,strip
182,pure_int,1,strip,strip
18200258741,pure_int,1,strip,strip
18200258751,pure_int,1,strip,strip
189,pure_int,1,strip,strip
18pk,num_unit,1,strip,strip
18x0.,multiplier,1,strip,strip
19.,other,1,strip,strip
190g,num_unit,1,strip,strip
190gx20,multiplier,1,strip,strip
1925,pure_int,1,strip,strip
194,pure_int,1,strip,strip
1946,pure_int,1,strip,strip
19843,pure_int,1,strip,strip
1995,pure_int,1,strip,strip
1ct,num_unit,1,strip,strip
1free,word_embedded,1,keep_name,keep_name
1gallon,word_embedded,1,keep_name,keep_name
1kcl,word_embedded,1,strip,strip
1l15,word_embedded,1,strip,strip
1ol7242,word_embedded,1,strip,strip
1per,word_embedded,1,strip,strip
1st,word_embedded,1,strip,strip
1st.,word_embedded,1,strip,strip
1tr,word_embedded,1,strip,strip
1v,word_embedded,1,strip,strip
1v.,word_embedded,1,strip,strip
1x1.,multiplier,1,strip,strip
1x100g,multiplier,1,strip,strip
1x16,multiplier,1,strip,strip
1x1ltr,multiplier,1,strip,strip
1x20,multiplier,1,strip,strip
1x200ml,multiplier,1,strip,strip
1x250ml,multiplier,1,strip,strip
1x32,multiplier,1,strip,strip
2.0.,other,1,strip,strip
2.1lb,num_unit,1,strip,strip
2.2lbs,num_unit,1,strip,strip
2.75gr,num_unit,1,strip,strip
20.28,decimal,1,strip,strip
20000,pure_int,1,strip,strip
201302,pure_int,1,strip,strip
2017,pure_int,1,strip,strip
2018,pure_int,1,strip,strip
206,pure_int,1,strip,strip
206g,num_unit,1,strip,strip
20ct,num_unit,1,strip,strip
20li,word_embedded,1,strip,strip
20mg,num_unit,1,strip,strip
20s,word_embedded,1,strip,strip
20x4gr,multiplier,1,strip,strip
20x50,multiplier,1,strip,strip
20x500ml,multiplier,1,strip,strip
20x5g,multiplier,1,strip,strip
21.6,decimal,1,strip,strip
2100,pure_int,1,strip,strip
2135,pure_int,1,strip,strip
2136,pure_int,1,strip,strip
2191,pure_int,1,strip,strip
21st,word_embedded,1,keep_brand,keep_brand
22.07.2021,other,1,strip,strip
22006011000,pure_int,1,strip,strip
226.7,decimal,1,strip,strip
226g,num_unit,1,strip,strip
2287,pure_int,1,strip,strip
2300,pure_int,1,strip,strip
23151100,pure_int,1,strip,strip
24.02.2023,other,1,strip,strip
24.48,decimal,1,strip,strip
24.8,decimal,1,strip,strip
241g,num_unit,1,strip,strip
249,pure_int,1,strip,strip
24ct.,num_unit,1,strip,strip
24ea,word_embedded,1,strip,strip
24er,word_embedded,1,strip,strip
24lu,word_embedded,1,strip,strip
24lu330ml,word_embedded,1,strip,strip
24st,word_embedded,1,strip,strip
24x1.5gr,multiplier,1,strip,strip
24x150ml,multiplier,1,strip,strip
24x200.,multiplier,1,strip,strip
24x250mle35,word_embedded,1,strip,strip
24x25cl,multiplier,1,strip,strip
24x500,multiplier,1,strip,strip
24x700g,multiplier,1,strip,strip
24x8.,multiplier,1,strip,strip
250m,word_embedded,1,strip,strip
250mlx12,word_embedded,1,strip,strip
26.02.2023,other,1,strip,strip
26g,num_unit,1,strip,strip
27.07.2021,other,1,strip,strip
27.8,decimal,1,strip,strip
274.8,decimal,1,strip,strip
275gr,num_unit,1,strip,strip
276547,pure_int,1,strip,strip
276g,num_unit,1,strip,strip
27er,word_embedded,1,strip,strip
28.22,decimal,1,strip,strip
280g,num_unit,1,strip,strip
280gm,word_embedded,1,strip,strip
281265,pure_int,1,strip,strip
282.3,decimal,1,strip,strip
285,pure_int,1,strip,strip
286,pure_int,1,strip,strip
28g,num_unit,1,strip,strip
29,pure_int,1,strip,strip
29.8,decimal,1,strip,strip
292574,pure_int,1,strip,strip
292575,pure_int,1,strip,strip
292863,pure_int,1,strip,strip
298,pure_int,1,strip,strip
298131,pure_int,1,strip,strip
298132,pure_int,1,strip,strip
298136,pure_int,1,strip,strip
2cs,word_embedded,1,strip,strip
2go,word_embedded,1,strip,strip
2lbs,num_unit,1,strip,strip
2nd,word_embedded,1,strip,strip
2pcl8,word_embedded,1,strip,strip
2ping,word_embedded,1,keep_name,keep_name
2pump,word_embedded,1,keep_name,keep_name
2x12,multiplier,1,strip,strip
2x230ml,multiplier,1,strip,strip
2x24,multiplier,1,strip,strip
2x2l,multiplier,1,strip,strip
2x2l.,multiplier,1,strip,strip
2x5,multiplier,1,strip,strip
2x500g,multiplier,1,strip,strip
2x5l,multiplier,1,strip,strip
2x6x750ml,word_embedded,1,strip,strip
2x90,multiplier,1,strip,strip
2x90cl,multiplier,1,strip,strip
3...,other,1,keep_brand,keep_brand
3.11,decimal,1,strip,strip
3.5g,num_unit,1,strip,strip
3.7,decimal,1,strip,strip
3.75,decimal,1,strip,strip
3.9,decimal,1,strip,strip
30.,other,1,strip,strip
30.04.2021,other,1,strip,strip
30.24,decimal,1,strip,strip
301,pure_int,1,strip,strip
308616,pure_int,1,strip,strip
30comp,word_embedded,1,keep_name,keep_name
30x0.25,multiplier,1,strip,strip
31.03.2019,other,1,strip,strip
31.07.2021,other,1,strip,strip
31.5,decimal,1,strip,strip
313333,pure_int,1,strip,strip
316,pure_int,1,strip,strip
316033,pure_int,1,strip,strip
320g,num_unit,1,strip,strip
329037,pure_int,1,strip,strip
32er,word_embedded,1,strip,strip
32fl.oz,word_embedded,1,strip,strip
32mg,num_unit,1,strip,strip
33.8000,decimal,1,strip,strip
33.8100,decimal,1,strip,strip
330...,other,1,strip,strip
330g,num_unit,1,strip,strip
330m,word_embedded,1,strip,strip
3330,pure_int,1,strip,strip
335,pure_int,1,strip,strip
337.5,decimal,1,strip,strip
33fl.oz,word_embedded,1,strip,strip
341,pure_int,1,strip,strip
344,pure_int,1,strip,strip
345,pure_int,1,strip,strip
35.27,decimal,1,strip,strip
3548,pure_int,1,strip,strip
35pk,num_unit,1,strip,strip
36ct,num_unit,1,strip,strip
374373,pure_int,1,strip,strip
378,pure_int,1,strip,strip
3800,pure_int,1,strip,strip
3800g,num_unit,1,strip,strip
38433,pure_int,1,strip,strip
387,pure_int,1,strip,strip
38g,num_unit,1,strip,strip
390,pure_int,1,strip,strip
3960,pure_int,1,strip,strip
397,pure_int,1,strip,strip
3jec,word_embedded,1,strip,strip
3x0,multiplier,1,strip,strip
3x0.5,multiplier,1,strip,strip
3x1,multiplier,1,strip,strip
3x120g,multiplier,1,strip,strip
3x250,multiplier,1,strip,strip
3x33,multiplier,1,strip,strip
3x330,multiplier,1,strip,strip
3x33cl,multiplier,1,strip,strip
3x500,multiplier,1,strip,strip
3x5l,multiplier,1,strip,strip
3x70,multiplier,1,strip,strip
3x8x150ml,word_embedded,1,strip,strip
4.,other,1,keep_brand,keep_brand
4.5,decimal,1,strip,strip
4.5g,num_unit,1,strip,strip
4.8,decimal,1,strip,strip
4.9lbs,num_unit,1,strip,strip
40.6,decimal,1,strip,strip
40000,pure_int,1,strip,strip
405.8,decimal,1,strip,strip
4086,pure_int,1,strip,strip
40x200,multiplier,1,strip,strip
40z,word_embedded,1,strip,strip
4191,pure_int,1,strip,strip
4260,pure_int,1,strip,strip
428506,pure_int,1,strip,strip
4287,pure_int,1,strip,strip
432,pure_int,1,strip,strip
4368,pure_int,1,strip,strip
44.0,decimal,1,strip,strip
4500,pure_int,1,strip,strip
450gr.,num_unit,1,strip,strip
450mg,num_unit,1,strip,strip
456,pure_int,1,strip,strip
46112600,pure_int,1,strip,strip
47,pure_int,1,strip,strip
470,pure_int,1,strip,strip
48.0,decimal,1,strip,strip
480g,num_unit,1,strip,strip
48fo,word_embedded,1,strip,strip
48x50,multiplier,1,strip,strip
490mlx24,word_embedded,1,strip,strip
495g,num_unit,1,strip,strip
49p,word_embedded,1,strip,strip
4g,num_unit,1,strip,strip
4kj,word_embedded,1,strip,strip
4la,word_embedded,1,strip,strip
4lbs,num_unit,1,strip,strip
4packs,word_embedded,1,keep_name,keep_name
4pz.,word_embedded,1,strip,strip
4x150cl,multiplier,1,strip,strip
4x16.,multiplier,1,strip,strip
4x1litre,multiplier,1,strip,strip
4x20,multiplier,1,strip,strip
4x230,multiplier,1,strip,strip
4x2l,multiplier,1,strip,strip
4x2litres,multiplier,1,strip,strip
4x330,multiplier,1,strip,strip
4x355ml,multiplier,1,strip,strip
4x50,multiplier,1,strip,strip
4x6,multiplier,1,strip,strip
4x60.,multiplier,1,strip,strip
4x6pack,multiplier,1,strip,strip
4x6x0.,word_embedded,1,strip,strip
5.,other,1,keep_brand,keep_brand
5.10,decimal,1,strip,strip
5.7kg,num_unit,1,strip,strip
5.8,decimal,1,strip,strip
5.84,decimal,1,strip,strip
50.82,decimal,1,strip,strip
500.0,decimal,1,strip,strip
500mg,num_unit,1,strip,strip
500mlsade,word_embedded,1,strip,strip
500mltarcin,word_embedded,1,strip,strip
505mg,num_unit,1,strip,strip
50c...,word_embedded,1,strip,strip
50g,num_unit,1,strip,strip
50mg,num_unit,1,strip,strip
50x6,multiplier,1,strip,strip
512729,pure_int,1,strip,strip
512816,pure_int,1,strip,strip
516405,pure_int,1,strip,strip
520388,pure_int,1,strip,strip
522009,pure_int,1,strip,strip
523664,pure_int,1,strip,strip
523717,pure_int,1,strip,strip
523718,pure_int,1,strip,strip
525349,pure_int,1,strip,strip
5265,pure_int,1,strip,strip
526831,pure_int,1,strip,strip
526880,pure_int,1,strip,strip
526966,pure_int,1,strip,strip
526967,pure_int,1,strip,strip
528,pure_int,1,strip,strip
547896,pure_int,1,strip,strip
547947,pure_int,1,strip,strip
548520,pure_int,1,strip,strip
549664,pure_int,1,strip,strip
549715,pure_int,1,strip,strip
549716,pure_int,1,strip,strip
550496,pure_int,1,strip,strip
550911,pure_int,1,strip,strip
550912,pure_int,1,strip,strip
550mlx24,word_embedded,1,strip,strip
551938,pure_int,1,strip,strip
552,pure_int,1,strip,strip
552783,pure_int,1,strip,strip
554605,pure_int,1,strip,strip
554709,pure_int,1,strip,strip
554813,pure_int,1,strip,strip
557517,pure_int,1,strip,strip
557672,pure_int,1,strip,strip
558297,pure_int,1,strip,strip
55g,num_unit,1,strip,strip
55pk,num_unit,1,strip,strip
562509,pure_int,1,strip,strip
563445,pure_int,1,strip,strip
566565,pure_int,1,strip,strip
58,pure_int,1,strip,strip
595g,num_unit,1,strip,strip
598607,pure_int,1,strip,strip
5999100032194,pure_int,1,strip,strip
5cal,word_embedded,1,strip,strip
5electrolytes,word_embedded,1,keep_name,keep_name
5la,word_embedded,1,strip,strip
5pk,num_unit,1,strip,strip
5x200ml,multiplier,1,strip,strip
5x250ml,multiplier,1,strip,strip
5x4,multiplier,1,strip,strip
5x6,multiplier,1,strip,strip
5x8g,multiplier,1,strip,strip
5x90g,multiplier,1,strip,strip
6.04,decimal,1,strip,strip
6.23,decimal,1,strip,strip
6.25,decimal,1,strip,strip
6.33,decimal,1,strip,strip
6.3kg,num_unit,1,strip,strip
6.5g,num_unit,1,strip,strip
6.7fl.oz,word_embedded,1,strip,strip
6.9,decimal,1,strip,strip
6.9fl,word_embedded,1,strip,strip
6066422,pure_int,1,strip,strip
60g,num_unit,1,strip,strip
60gm,word_embedded,1,strip,strip
60gr,num_unit,1,strip,strip
60p,word_embedded,1,strip,strip
60x37,multiplier,1,strip,strip
621,pure_int,1,strip,strip
624,pure_int,1,strip,strip
6357,pure_int,1,strip,strip
6506,pure_int,1,strip,strip
651,pure_int,1,strip,strip
652,pure_int,1,strip,strip
6586,pure_int,1,strip,strip
662,pure_int,1,strip,strip
665,pure_int,1,strip,strip
66718,pure_int,1,strip,strip
66720,pure_int,1,strip,strip
67.6fo,word_embedded,1,strip,strip
6703,pure_int,1,strip,strip
68,pure_int,1,strip,strip
6800,pure_int,1,strip,strip
680g,num_unit,1,strip,strip
696,pure_int,1,strip,strip
69907,pure_int,1,strip,strip
69fl.oz,word_embedded,1,strip,strip
6bl,word_embedded,1,strip,strip
6bt,word_embedded,1,strip,strip
6fl.oz,word_embedded,1,strip,strip
6fr1103,word_embedded,1,strip,strip
6pk32oz,word_embedded,1,strip,strip
6pz.,word_embedded,1,strip,strip
6th.,word_embedded,1,strip,strip
6x1.5pet,multiplier,1,strip,strip
6x12,multiplier,1,strip,strip
6x150,multiplier,1,strip,strip
6x1500ml,multiplier,1,strip,strip
6x17.,multiplier,1,strip,strip
6x222ml,multiplier,1,strip,strip
6x240ml,multiplier,1,strip,strip
6x25,multiplier,1,strip,strip
6x25cl,multiplier,1,strip,strip
6x300,multiplier,1,strip,strip
6x432g,multiplier,1,strip,strip
6x4pack,multiplier,1,strip,strip
6x4x,multiplier,1,strip,strip
6x60,multiplier,1,strip,strip
6x600,multiplier,1,strip,strip
6x600ml,multiplier,1,strip,strip
6x60cl,multiplier,1,strip,strip
6x70cl,multiplier,1,strip,strip
6x750,multiplier,1,strip,strip
6xolvi,word_embedded,1,strip,strip
7.,other,1,strip,strip
7.07,decimal,1,strip,strip
7.2,decimal,1,strip,strip
7.5g,num_unit,1,strip,strip
7.5gr,num_unit,1,strip,strip
7.9,decimal,1,strip,strip
70025,pure_int,1,strip,strip
70027,pure_int,1,strip,strip
701243012330,pure_int,1,strip,strip
702100,pure_int,1,strip,strip
70mlx30pouches,word_embedded,1,strip,strip
724,pure_int,1,strip,strip
725,pure_int,1,strip,strip
7264,pure_int,1,strip,strip
72x0.,multiplier,1,strip,strip
730g,num_unit,1,strip,strip
75...,other,1,strip,strip
750mlx12,word_embedded,1,strip,strip
75p,word_embedded,1,strip,strip
79,pure_int,1,strip,strip
794,pure_int,1,strip,strip
794546,pure_int,1,strip,strip
7er,word_embedded,1,strip,strip
7fl.oz,word_embedded,1,strip,strip
7lbs,num_unit,1,strip,strip
8.11fl.oz,word_embedded,1,strip,strip
8.12,decimal,1,strip,strip
8.46,decimal,1,strip,strip
80000,pure_int,1,strip,strip
8038,pure_int,1,strip,strip
81584,pure_int,1,strip,strip
82,pure_int,1,strip,strip
83,pure_int,1,strip,strip
83426,pure_int,1,strip,strip
8518,pure_int,1,strip,strip
85mg,num_unit,1,strip,strip
85p,word_embedded,1,strip,strip
86,pure_int,1,strip,strip
8680050690035,pure_int,1,strip,strip
8681259700365,pure_int,1,strip,strip
8690,pure_int,1,strip,strip
87.5,decimal,1,strip,strip
888903201021,pure_int,1,strip,strip
8g,num_unit,1,strip,strip
8s,word_embedded,1,strip,strip
8x1,multiplier,1,strip,strip
8x100cl,multiplier,1,strip,strip
8x1l,multiplier,1,strip,strip
8x20,multiplier,1,strip,strip
8x200ml,multiplier,1,strip,strip
8x250ml,multiplier,1,strip,strip
8x26g,multiplier,1,strip,strip
8x355ml,multiplier,1,strip,strip
8x4x,multiplier,1,strip,strip
8x750ml,multiplier,1,strip,strip
8x75cl,multiplier,1,strip,strip
9.,other,1,strip,strip
9.29,decimal,1,strip,strip
9.3,decimal,1,strip,strip
9.4,decimal,1,strip,strip
9.8,decimal,1,strip,strip
9076304,pure_int,1,strip,strip
907g,num_unit,1,strip,strip
90mg,num_unit,1,strip,strip
91017,pure_int,1,strip,strip
95mg,num_unit,1,strip,strip
96x0.,multiplier,1,strip,strip
9765,pure_int,1,strip,strip
98,pure_int,1,strip,strip
99.00,decimal,1,strip,strip
99.3,decimal,1,strip,strip
99.7,decimal,1,strip,strip
990,pure_int,1,strip,strip
9gr,num_unit,1,strip,strip
9pk,num_unit,1,strip,strip
9x0.,multiplier,1,strip,strip
9x250ml,multiplier,1,strip,strip
9x50,multiplier,1,strip,strip
a0103912,word_embedded,1,strip,strip
ab1104,word_embedded,1,strip,strip
ab1112,word_embedded,1,strip,strip
activeo2,word_embedded,1,strip,strip
americanfood4u,word_embedded,1,strip,strip
apfelsaft250,word_embedded,1,strip,strip
appelsiinimehutiiv1,word_embedded,1,strip,strip
appelsiinitaysmehu100,word_embedded,1,strip,strip
aquacareh2o,word_embedded,1,strip,strip
arc070s0arww,word_embedded,1,keep_name,keep_name
aronia275,word_embedded,1,strip,strip
b13,word_embedded,1,keep_nutrient,keep_nutrient
b450,word_embedded,1,keep_nutrient,keep_nutrient
b455,word_embedded,1,keep_nutrient,keep_nutrient
b477,word_embedded,1,keep_nutrient,keep_nutrient
b6.,word_embedded,1,strip,strip
b7,word_embedded,1,keep_nutrient,keep_nutrient
bg14308,word_embedded,1,strip,strip
bg14980,word_embedded,1,strip,strip
bio12x0.,word_embedded,1,strip,strip
bosbessen27x250,word_embedded,1,keep_name,keep_name
bottle44,word_embedded,1,strip,strip
bouteille1l,word_embedded,1,strip,strip
bouteille900ml,word_embedded,1,strip,strip
burst850ml,word_embedded,1,strip,strip
c2max,word_embedded,1,strip,strip
c4,word_embedded,1,strip,strip
case2,word_embedded,1,strip,strip
cay1,word_embedded,1,strip,strip
cbt4418,word_embedded,1,strip,strip
chinotto1,word_embedded,1,strip,strip
cl.17.5,other,1,strip,strip
cl.18,other,1,strip,strip
cl.33,other,1,strip,strip
cl12,word_embedded,1,strip,strip
clean100mg,word_embedded,1,strip,strip
cmplx6,word_embedded,1,strip,strip
cranberry1l,word_embedded,1,strip,strip
d3,word_embedded,1,strip,strip
daylesfordnch43paule39,word_embedded,1,keep_name,keep_name
de50cl,word_embedded,1,strip,strip
de70cl,word_embedded,1,strip,strip
drnk330ml,word_embedded,1,strip,strip
du20,word_embedded,1,strip,strip
du20with,word_embedded,1,strip,strip
dvg1847,word_embedded,1,strip,strip
e224,word_embedded,1,strip,strip
